season,episode,scene,character,dialogue
5,21,4,Barney," I do not know what it is, but I want to get Robin."
5,21,4,Ted, I know what it is. You're like... a kid who threw his toys and wants them back as soon as another plays with.
5,21,4,Barney, I had perhaps not done playing with. I just left to play with something else for a while.
5,21,4,Ted, You ready.
5,21,4,Barney, Ready for what?
5,21,4,Ted, To read the letter.
5,21,4,Ted (2030)," Children, I invented the letter to remind me of the reasons for a breakup. I did it for years."
5,21,4,Ted," Dear Ted future, never returns with Karen, because it is a pretentious snob. And she has deceived you. Sorry that you discover the way. You see? We laugh now."
5,21,4,Ted," Dear Ted future, stay away from Natalie. And girls who beat you to the ground for no reason, before a cheering crowd. PS... Check out a shrink to find out why it has you a little excited."
5,21,4,Ted," Dear genius relations, Stella has left you at the altar, you'll love me maybe more. And you will surely die alone. It's not so sad written in calligraphy."
5,21,4,Ted (2030), When Barney and Robin have broken in the fall before...
5,21,4,Barney, Hanging out with Robin was a huge mistake.
5,21,4,Ted, Write it.
5,21,4,Barney, What?
5,21,4,Ted, Write yourself a letter. That way you will remember the reasons for the break when you miss.
5,21,4,Barney, My pleasure. Dear Barney... the future... This ink is too cool.
5,21,4,Ted, Right?
5,21,4,Barney, You... and Robin...
5,21,4,Barney,"... a couple were atrocious. It did not work. You always love Robin, but remember the other women... And above all, the other breast, and all the cool stuff you do with breasts... Y to the head, juggle... squeaker squeaker... I'm a hopeless romantic.And there are drawings of breasts."
5,21,4,Ted, Get it?
5,21,4,Barney, I understand. I really want it back.
5,21,4,Marshall," Humans are not made to share a bed. s*x and sleep are associated, but these are two different things."
5,21,4,Lily," I know. I love you, but I want this new bed is a sanctuary of my sleep and my sleep only."
5,21,4,Marshall," Me too. And snacks, but that's all. You know what we should do? Buy a third bed to make love."
5,21,4,Lily, A bed for s*x. For hot s*x and bestiality.
5,21,4,Marshall," Awesome. That way, each bed will have its uses."
5,21,4,Lily," Right. There will be two beds for sleeping, one for s*x, and I thought an ottoman for birthdays."
5,21,4,Marshall," Baby, you come to revolutionize modern marriage?"
5,21,4,Lily, And how.
5,21,4,Don, Do you like sushi?
5,21,4,Robin," Don made sushi, it's cool, huh? He learned in Japan."
5,21,4,Barney, It's too easy.
5,21,4,Ted," Be nice. You want it just because you can not have it. Like saying ""Sit wherever you want, except on that chair."" You will be so..."
5,21,4,Barney, My chair!
5,21,4,Lily, From spicy tuna? My favorite.
5,21,4,Don," I do too. It is more spicy, the better."
5,21,4,Barney," Me too, man. More than you, certainly. Instance. Super spicy. I feel bad."
5,21,4,Marshall, You will not believe. Don also has twin beds.
5,21,4,Lily, We just had.
5,21,4,Don, Great. Super.
5,21,4,Lily," Wait. This ""super"" does not look great."
5,21,4,Don, My ex and I thought it would be a good idea but they separated.
5,21,4,Marshall, But I bet you have no special bed s*x.
5,21,4,Don," It yes, with his personal trainer."
5,21,4,Barney, This pepper is an ice cube in my mouth.
5,21,4,Don," But if Robin decides to move, I bought a giant bed."
5,21,4,Robin, I would love. If I move.
5,21,4,Don, If you moved in.
5,21,4,Barney, Don Tokyo... You ever do that... in Japan? Wasabi!
5,21,4,Ted, Great! Give her milk!
5,21,4,Robin," spit, spit!"
5,21,4,Don," We have more milk. Thank you for the reminder, Robin."
5,21,5,Ted," Well, I hope you're happy."
5,21,5,Barney, I stay on my position. It was bold and romantic.
5,21,5,Ted, You were emptied from the top and bottom.
5,21,5,Barney, Come on. Did you do stupid stuff to impress Robin.
5,21,5,Ted," Yes, but not anymore, because I turned the page. Just like you."
5,21,5,Barney," You have not turned the page. You want it as much as me, but you not admit it."
5,21,5,Ted, That's ridiculous and I'll tell you why.
5,21,5,Barney, For my biographer?
5,21,5,Ted," Concentrate on the letter, ok? At Ted, Robin is the ideal girl for you, but she will not engage. You need someone who wants to settle. So, until Robin is ready for this, it is not for you. I still remember stealing the blue French horn, our first kiss, her eyes when she told me she loved me. And shit. I want it back."
5,21,5,Ted (2030)," So that night, with Barney, we sat down to talk calmly and reasonably to the most deserving Robin."
5,21,5,Ted, I stole a blue french horn for her... I was with her for a year.I wanted her to be the mother of my children and spend eternity in his arms.
5,21,5,Barney,"... I want to sleep with her, at least one last time. She is mine!"
5,21,5,Ted," It's not for you! And it's not mine, either. It is... to Don."
5,21,5,Barney," Okay. We must get rid of him. You know, metaphorically."
5,21,5,Ted, Of course.
5,21,5,Barney," Or... literally. That's how it starts! I'm afraid, Teddy!"
5,21,5,Ted, We all talk!
5,21,5,Lily, I'm worried. I do not want that divorce.
5,21,5,Marshall," This is Don. It's not us. Our new way to sleep is only going to get closer. Now, get out of my bed."
5,21,5,Lily, We can at least get closer?
5,21,5,Marshall," Sure. You spoke of the beds. No, I'm not."
5,21,5,Lily, Why?
5,21,5,Marshall," I love you more than anything, but you're worse than a kettle. I'm surprised that your pee breaks are not as steam."
5,21,5,Lily, You're not perfect either. Between the food and ants. But... I still want to be with you.
5,21,5,Marshall," To hit me and slam me all night? I swear, as soon as you fall asleep, it looks like it push you arms. One would think sleeping with an Indian goddess."
5,21,5,Lily, We're getting closer?
5,21,5,Marshall, You speak of beds yet?
5,21,5,Lily, Nope.
5,21,5,Marshall, Come here.
5,21,5,Barney, Robin Stinson!
5,21,5,Ted, Robin Mosby!
5,21,5,Barney, Robin Stinson!
5,21,5,Ted, Ted Scherbatsky. I would take his name. I do not care.
5,21,5,Barney," Okay, wait. What do you say to that? It is being shared?I take up to 40 years and after you can have it."
5,21,5,Ted, Who we laugh? It is with Don. We must accept it and move on.
5,21,5,Barney, You're right. I go to you... I go to the bathroom. And then I'll break...
5,21,5,Barney, It's BarnExclussif.
5,21,5,Robin," BarnExclussif, not quit. I have a double appeal."
5,21,5,Ted, It's Teddy Bear. Want some honey?
5,21,5,Robin," No. Ted, not quit. I'll remember. Ted is on the other line... and I think he has a problem."
5,21,5,Barney," Ted calls you? Indeed, he has a problem."
5,21,5,Robin, What's the matter?
5,21,5,Ted, There's that you have beautiful hair. Front and back.
5,21,5,Ted, We almost lose control.
5,21,5,Barney, It's true. I'm going to leave before something regrettable.
5,21,5,Barney," Robin, I love you!"
5,21,5,Ted, Species of b*st*rd! I brought the blue French horn!
5,21,5,Barney," I brought the blue French horn! Ted has just given me.Sorry, I was there before you."
5,21,5,"Robin, at the window"," Guys, what do you do?"
5,21,5,Ted, I want you back!
5,21,5,Don," Come on, get."
5,21,5,Barney," All right! Here we go! You, Me and Ted!"
5,21,5,Ted, Something to three.
5,21,5,Don," Robin and I have to go to work. Sit down watching TV and will be discussed when we come back, okay?"
5,21,5,Ted," You abandoned easily. Game, set and match!"
5,21,5,Barney, We won the fingers in the nose...
5,21,5,Ted, Where's this great TV?
5,21,5,Don, Right there.
5,21,5,Robin, Thank you.
5,21,5,Don," You're welcome. Good night, guys."
5,21,5,Barney," Good night, Dad."
5,21,5,Marshall," It was good. Well, you gotta go."
5,21,5,Lily, What?
5,21,5,Marshall," I'm sorry. It was great and you're great. But, I must get up early, so..."
5,21,5,Lily, You throw me like that?
5,21,5,Marshall, You knew before you start. (Lily gets up to join his bed) Wait. Forget your sweater. Nice try.
5,21,5,Robin," The Teddy Bear, BarnExclussif."
5,21,5,Barney, Dad?
5,21,5,Robin," We get up, fuckers. You remember last night?"
5,21,5,Barney," Damn, Ted was torn. Embarrassing..."
5,21,5,Ted," I'm sorry. It is both. We drank and we were stupid, but... We will do everything we can to ensure that Don is part of the group."
5,21,5,Robin," Don will not be part of the group. Neither do I. At least for a while. Guys... with Don, it works well. I want to see where it goes. And I could not do it if I continue to hang out with my ex. It will not. I moved in with Don."
5,21,5,Barney, So what's going on with Robin?
5,21,5,Ted," You were right, she was just angry. It's been four days and not talk to relocate. We must never repeat this kind of shit."
5,21,5,Barney," I agree. In fact... I even wrote another letter. Dear Barney the future, you think you want to get Robin, thou wilt not true. Let her. Sincerely, Barney's past."
5,21,5,Ted, Let me see!
5,21,5,Barney, Give me that.
5,21,5,Ted," Ps... The top was for Ted. He believed? Fine. Pull yourself together with Robin, but say nothing to Ted because he will still go wrong. And there are still drawings of breasts."
5,21,5,Barney," In my defense, the breasts, is not it great?"
5,21,5,Ted, Too great.
5,21,5,Ted, Robin?!
5,2,1,TED (2030),"  This is the story of two blind dates. One in 2009... And one seven years earlier. In all that time, my dating routine remained more or less the same... until the fall of 2009, when I finally had a date that was different. Because it was exactly the same. I was on a blind date with the same woman I went on a blind date with seven years earlier."
5,2,1,Jen, Ted?
5,2,1,Ted, Jen?
5,2,1,Jen, It's nice to meet you.
5,2,1,Ted (2030), And she didn't remember it. But then again...
5,2,1,Ted," It's nice to meet you, too."
5,2,1,Ted (2030), Neither did I.
5,2,1,Barney," Guess who just got four tickets to the ""Origins of Chewbacca"" Star Wars exhibit?"
5,2,1,Lily, Why?
5,2,1,Barney," No, I said, ""Guess who?"""
5,2,1,Lily,  I heard you.
5,2,1,Robin," Yeah, um, isn't it a little early in our relationship to do something that would end our relationship?"
5,2,1,Marshall," What? No, what are you talking about? It can be our first double date as couples! And plus, it sounds awesome! Is the original Chewbacca going to be there?"
5,2,1,Barney," Peter Mayhew, in the fur. Who's with me?"
5,2,1,Marshall," Hey, do you think they'll have Wookiee to English dictionaries there? I mean, even just an everyday phrase book would be helpful."
5,2,1,Barney," We're not going to the ""Origins of Chewbacca"" exhibit,Marshall. It's inHouston this year. Everyone knows that. I just wanted to get rid of the girls."
5,2,1,Marshall," Where are you taking me, Barney?"
5,2,1,Ted (2030), This wasn't the first time your Uncle Barney had kidnapped one of us.
5,2,1,Ted," Wait a second, the ""Origins of Chewbacca"" exhibit's inMontreal this year. Everyone knows that. Where are you taking me?"
5,2,1,Barney, My guy in the DA's office scored us front row seats to a lethal injection. But we're still stopping for chili dogs first.
5,2,1,Ted, Stop the cab.
5,2,1,Marshall, Where are you taking me?
5,2,1,Marshall," Barney, why are we here?"
5,2,1,Barney," Marshall, now that Robin and I are together, I've learned a lot about relationships by watching you and Lily."
5,2,1,Marshall," Thanks, man."
5,2,1,Barney, You're a terrible couple. Lily has taken all the man out of you. I used to think that's just every relationship. But what I've got with Robin proves that you can have a girlfriend and fully functioning male genitalia all at the same time.
5,2,1,Marshall," Okay, right. So, if Robin knew that you were here, she would be completely fine with it?"
5,2,1,Barney, Are you kidding? She'd sprint down here with a purse full of singles and a poncho for the 10
5,2,1,Ted (2030)," Meanwhile, Jen and I were at my favourite first date restaurant... for the second time."
5,2,1,Ted," So, Jen, what do you do?"
5,2,1,Jen, I'm between jobs banking crisis.
5,2,1,Jen, I'm between jobs Internet bubble burst. Makes me realize I should go into something more stable... like banking. So what about you?
5,2,1,Ted," I'm an architect. Hopefully, one day, I can use my own humble brush on the masterpiece that isManhattan's skyline."
5,2,1,Ted," I teach architecture. Get 50% off so, that's pretty sweet."
5,2,1,Marshall, Married!
5,2,1,Barney, What is wrong with you? You're just looking. It's like fantasizing about other women. It's harmless. Wait. Don't tell me you don't fantasize about other women.
5,2,1,Marshall, I do! It's just not that easy.
5,2,1,Barney, False! I once fantasized about that silhouette chick you see on a truck's mudflaps. Took me less than a mile.
5,2,1,Marshall," Not everyone is you, okay, Barney? Even when I do start to have a dirty thought like that... it seems so much like cheating on Lily, that I feel guilty. So first, I need to have a different fantasy."
5,2,1,Doctor,  Bad news. Lily has a rare and fatal hiccup disorder that's apparently medical illegitimate.
5,2,1,Marshall , What?! How could this be?!
5,2,1,Doctor," Beats me, but it says it right here on this doctor clipboard that doctors have."
5,2,1,Lily," It's time, baby."
5,2,1,Marshall, I will never love again.
5,2,1,Lily," No,Marshall, you must. And after an appropriate number of years, you should find someone else. Someone like that busty delivery girl from that one time. And plow her like a cornfield."
5,2,1,Priest," And so,Marshall, to honour Lily, you must find that busty delivery girl from that one time and plow her like a cornfield."
5,2,1,Delivery girl, Delivery for Marshall Eriksen.
5,2,1,Marshall," (kissing his hand and looking up and ) This one's for you Lily. (to the delivery girl, opening his shirt) Where do I sign?"
5,2,1,Marshall," And then watch out, because it is on!"
5,2,1,Barney," That is the saddest thing I've ever heard. Dude, Lily gets you in real life She has no business in your fantasies."
5,2,1,Marshall," It's all I know, okay? I can't, I can't help it."
5,2,1,Barney," I accept your invitation. Marshall Eriksen, from this day forward, I will be the wingman of your mind. Now, focus on the next dancer. Put Lily completely out of your mind."
5,2,1,Voice," Gentlemen, say hello J-J-J-Jasmine."
5,2,1,Marsahll, Barney? Is it just me or does that stripper look exactly like...?
5,2,1,Barney," Ted, we found a stripper who looks exactly like Lily!"
5,2,1,Ted,"  Yeah, I can't talk right now."
5,2,1,Barney," I'm speechless, too. Everything's as perky as we've always imagined!"
5,2,1,Marshall, Stop looking at her.
5,2,1,Ted," Uh, look, I got to go. Take a picture."
5,2,1,Barney," Oh, I will. But first, I'm going to makeMarshall watch as I wedge Ulysses S. Grant between his wife's tatas."
5,2,1,Marshall, (hitting him) I'll k*ll you!
5,2,1,Ted, (hanging up his cellular) Sorry about that.
5,2,1,Jen," So, any thoughts on food?"
5,2,1,Ted," Yeah, do you wanna share the oysters?"
5,2,1,Jen, I would love to share the oysters.
5,2,1,Ted,  Good. 'Cause if you didn't......that would be mighty shellfish.
5,2,1,Jen," Wow, that's bad."
5,2,1,Ted, That's why it's funny!
5,2,1,Ted and Jen, We've been on this date before.
5,2,1,Ted, We've been on this exact blind date before.
5,2,1,Jen, In this exact same restaurant.
5,2,1,Ted," Correct me if I'm wrong, but I don't think that blind date went too well."
5,2,1,Jen, Me neither. I remember thinking that you were a little snobby.
5,2,1,Ted," Wait, you... You dressur cats up in weird costumes."
5,2,1,Jen," They're not weird. See, you're being snobby again."
5,2,1,Ted," Oh, my God. Do you realize what this means? Since our first date, we've done a complete lap of all the single people inNew York only to end up back here, with each other."
5,2,1,Jen," Whoa. We're going to die alone, aren't we?"
5,2,1,Ted," Well, you've got your cats."
5,2,1,Jen, This is insane.
5,2,1,Ted," Wait, I got to ask. Why did you think I was snobby?"
5,2,1,Jen," Wait... Okay... yeah, we were sitting over there... (showing a table)"
5,2,1,Ted," Main Lobster. They spelled ""Maine"" without the ""e."" Good to know we're not getting the crappy understudy lobsters, right? Tonight, the role of pound-and-a-half lobster will be played by..."
5,2,1,Jen," I get it, Ted."
5,2,1,Jen, Pointing out spelling errors in a menu makes you seem kind of snooty.
5,2,1,Ted, Huh. I had no idea.
5,2,1,Jen," Okay, well, what about me? Aside from the cats, how did I come across?"
5,2,1,Ted," That's right-- the check. The check came and, of course, I was going to pay, but you didn't do the check dance."
5,2,1,Jen, Huh. I had no idea.
5,2,1,Ted," This is good. We're learning stuff. You know what we should do? We should retrace the rest of that night and figure out what else we do wrong on first dates. 'Cause let's be honest, we are scaring people off, Jen."
5,2,1,Jen," We really are. Okay, I'm in."
5,2,1,Ted, Great.
5,2,1,Jen, Where'd we go next?
5,2,1,Ted, I think we went to MacLaren's.
5,2,1,Jen, Okay.
5,2,1,Jen," Hey, I didn't really talk about my cats that much, did I?"
5,2,1,Jen," And then, there's Tabby-gail Adams, the jester of the group."
5,2,1,Jen, Tone down the kitty talk. Check.
5,2,1,Barney, You will not believe who we saw tonight.
5,2,1,Marshall," Dude, um..."
5,2,1,Barney, We saw the third doppelganger!
5,2,1,Ted (2030), I should explain. Over the years we had spotted two strangers who looked exactly like
5,2,1,Barney," Hey, hey, hey, hey! (showing a girl who spits on the ground)"
5,2,1,Ted (2030), Lesbian Robin.
5,2,1,Ted (2030)," And Moustache Marshall. By the following summer, we would find the remaining two doppelgangers. But I'll get to that."
5,2,1,Barney," Ladies, meet Stripper Lily. (showing a photo in his cellular)"
5,2,1,Lily, Oh!
5,2,1,Barney," Yeah, I couldn't get her face in it. But she looks just like you."
5,2,1,Lily, So you went to a strip club?
5,2,1,Barney, Busted.
5,2,1,Lily, And there was a stripper who looked exactly like me?
5,2,1,Marshall," Okay, babe, look, before you get mad, let me..."
5,2,1,Lily," Awesome! I bet the guys were going crazy. Oh, I bet they wanted to touch her so bad. But all you can do is look, unless you go into the back room, but honey, you got to pay for that."
5,2,1,Robin, So... Strip club.
5,2,1,Barney, Marshall made me go.
5,2,1,Ted," All right, so what did I do wrong next? Let me have it. I'm here to learn."
5,2,1,Jen," Well, I kept telling you I was cold, but you didn't offer me your jacket."
5,2,1,Jen," It's a little brisk out tonight, huh?"
5,2,1,Ted, Not really.
5,2,1,Jen, Really? I can't feel my fingers.
5,2,1,Ted, I'm pretty impervious to stuff like that.
5,2,1,Ted, I couldn't admit I was cold. I didn't want to seem like a wimp compared to your action hero ex-boyfriend who you wouldn't stop talking about.
5,2,1,Jen," After a day of fighting fires, Jim would love to come home and unwind working on his '68 Camaro. That or bare-knuck boxing, which he learned in the Marine Corps."
5,2,1,Ted, I had an aunt in the Coast Guard.
5,2,1,Jen," Okay, so no talking about the ex. Not even about his shockingly small wiener?"
5,2,1,Ted, See? Why didn't you lead off with that?
5,2,1,Lily, Was there a shower on stage? Sometimes there's a shower on stage. I bet stripper me would get in there with another girl and just go bananas.
5,2,1,Barney," See,Marshall? We got to have a bros' night at a strip club and both of our ladies are totally cool with it."
5,2,1,Robin, I'm not cool with it.
5,2,1,Barney, Because they understand that it's healthy for us to do that from time to time.
5,2,1,Robin, It's disgusting.
5,2,1,Barney, Because it's harmless.
5,2,1,Robin, Did one of your whores tell you that?
5,2,1,Barney," And, Lil,Marshall shouldn't have to go to so much trouble just to have an innocent fantasy."
5,2,1,Lily, Trouble? What trouble?
5,2,1,Marshall," It's, no, it's nothing."
5,2,1,Barney," Marshall, tell her. We're all friends here."
5,2,1,Robin," No, we're not."
5,2,1,Marshall," Lily, Sometimes I think about other women. Okay, it happens. But even when I do, I feel so guilty that I have to imagine you... passing away first, because even in a fantasy world, I could never cheat on you. You're... you're just my life, baby. And I love you."
5,2,1,Lily," You k*ll me off?! I mean, fantasize about other girls all you want, but could you maybe not m*rder me?!"
5,2,1,Marshall," m*rder?! No! I, baby-no. You develop a chronic illness! I spare no expense for your care! I even stand up a foundation in your name. We're, like, this close to a cure."
5,2,1,Ted, Remember? (showing the Mc Laren's bar)
5,2,1,Jen," Oh, yeah! I do remember. We went in here for a drink with your friends. Who I loved... Or hated, depending on whether you're still friends with them."
5,2,1,Ted, You loved them.
5,2,1,Jen," They're family, Ted."
5,2,1,Ted," Let's go in and see what they remember. And they are my best friends, so don't be surprised if they suddenly ""can't think"" of anything I do wrong."
5,2,1,Robin, Did he juggle? Bad puns? Mmm. Expect a standing ovation for picking up a $19 check
5,2,1,Lily," Oh, let's not forget the menu typo gold mine. Keep pannin' that river, buddy."
5,2,1,Marshall," Well, it is a lot cheaper than buying a condom. Oh!"
5,2,1,Jen, Actually you know what it was? I remember him coming across as kind of a player.
5,2,1,Ted, Me?
5,2,1,All the other, Ted?
5,2,1,Jen, Yeah. We were all sitting over there... (showing a table)
5,2,1,Jen," And here's a picture of my cats dressed up like Batman villains. You got the Joker, the Riddler, Mr. Freeze..."
5,2,1,Lily, What about Cat Woman?
5,2,1,Jen," Yeah, that would've been good."
5,2,1,Barney, Psst! Ted! (showing a girl with his head)
5,2,1,Ted, (looking at the girl) Nice.
5,2,1,Ted," Wait, wait, wait, no, no, no! I remember that. I was not checking out a girl."
5,2,1,Ted, Nice.
5,2,1,Ted, We were checking out Moustache Marshall.
5,2,1,The other, Ah...
5,2,1,Jen," Gosh, I thought you were such a jerk. I'm so sorry."
5,2,1,Ted," Yeah, well, it's nice to know ""past me"" wasn't a total jackass, huh?"
5,2,1,Jen," ""Present you"" isn't so bad, either."
5,2,1,Jen, Thank you very much.
5,2,1,Ted, You got it.
5,2,1,Jen," Yes. Oh, yeah! I remember this."
5,2,1,Ted, ...and there's theChryslerBuilding. And the Empire State Building. And at 12
5,2,1,Jen," Aww... That's kind of sweet. Oh, look. Snack break."
5,2,1,Ted," Good for them. Letting a guy eat pizza off your back, that's love. So, um... I know this wasn't the best"
5,2,1,Jen," Me, too."
5,2,1,Ted, That was really great. Wh... What went wrong?
5,2,1,Jen, I remember now.
5,2,1,Jen, (after the kiss) Wow.
5,2,1,Ted," Yeah. So would you maybe, um... want to go out again?"
5,2,1,Jen," Yeah, I, I would. Will you call me?"
5,2,1,Ted, Absolutely.
5,2,1,Jen, Promise?
5,2,1,Ted, Promise.
5,2,1,Ted, I have been so busy.
5,2,1,Jen," Good night, Ted."
5,2,1,Jen, Hello?
5,2,1,Ted," Jen, I sorry. Look, I know I'm seven years late with this call, but I was an idiot back then. You saw the goatee. The truth is, I had a great time tonight, and I'd love to see you again."
5,2,1,Jen," Ted, there are two kinds of guys. The guys that you want to call you, who don't; and the guys you don't want to call you, who always do. And somehow, right now, you're both."
5,2,1,Lily," Baby... You should be able to fantasize about another woman without feeling guilty, or you know, k*ll*ing me off."
5,2,1,Marhsall," I wish that I could, but I've been doing this for so long, I'm all confused about death and s*x. It's gotten to the pot where every time I drive past a cemetery, I'm sportin' a partial."
5,2,1,Lily," All right, we got to fix this."
5,2,1,Lily," Okay, when Stripper Lily gets out here, you have my permission to fantasize about her. And since she's basically me, maybe you won't feel guilty."
5,2,1,Marshall," Thanks, baby. I'm-I'm so lucky I have you. And stripper you."
5,2,1,Lily, Bring out Stripper Lily!
5,2,1,Barney," (to Robin) You know, I don't come here that much."
5,2,1,Waitress," Hey, Barney. He's the usual and I'll send over the other usual as soon as she's done stretching."
5,2,1,Barney," Thank you, kindly stranger."
5,2,1,Voice," Ladies and gentlemen... Oh, hey, Barney. Didn't see you come in. I'll load up some AC/DC for you, buddy. Ladies and gentlemen, please put your hands together for J-J-Jasmine."
5,2,1,Lily," I am hot! Oh, crawl for it, stripper me.I is awesome. Baby, can I get another hundred?"
5,2,1,Marshall, That was a hundred?
5,2,1,Lily," Wow, she crawls fast."
5,2,1,Ted," Look, Jen, I wish I could go back and talk some sense into 2002 Ted, but that guy's a lost cause. He's 24. He thinks a little facial hair makes him look like John Depp. And he has no idea what a great girl he's missing out on. But I've learned a lot since then. I've learned a lot tonight."
5,2,1,Jen," The only thing that we've learned is that, seven years ago, it was mistake for us to go out. And I guess it was a mistake for us to go out tonight."
5,2,1,Ted," No, it wasn't. I had a great time tonight. And seven years ago, if you think about it, we didn't miss by that much. If a couple things had gone a little bit differently... who knows what"
5,2,1,Ted imagines, She wants to pay the restaurant. He offers her his jacket. They takes pictures with Moustache Marshall. He calls her after their date. They marry.
5,2,1,Jen, Wow.
5,2,1,Marshall, Wow.
